Column1,State Code,County Code,Site Num,Address,State,County,City,Date Local,Days Since Last Obs,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
28208,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,10/24/2005,,Parts per billion,18.043478,39,7,37,Parts per million,0.03125,0.043,0,36,Parts per billion,2.869565,5,7,7,Parts per million,0.43913,0.6,6,
28212,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,10/25/2005,1,Parts per billion,18.478261,36,5,34,Parts per million,0.026708,0.039,9,33,Parts per billion,2.695652,4,8,6,Parts per million,0.46087,1,5,
28216,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,10/26/2005,1,Parts per billion,16.695652,35,6,33,Parts per million,0.031125,0.042,11,36,Parts per billion,2.26087,3,4,4,Parts per million,0.517391,1.1,6,
28220,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,10/27/2005,1,Parts per billion,13.782609,30,9,28,Parts per million,0.034208,0.04,10,34,Parts per billion,2.434783,4,0,6,Parts per million,0.421739,0.7,8,
28224,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,10/28/2005,1,Parts per billion,22.217391,40,6,38,Parts per million,0.017917,0.035,10,30,Parts per billion,2.695652,7,10,10,Parts per million,0.765217,2.4,6,
28228,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,10/29/2005,1,Parts per billion,25.086957,35,21,33,Parts per million,0.014667,0.029,9,25,Parts per billion,6.913043,21,15,30,Parts per million,0.873913,1.6,0,
28232,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,10/30/2005,1,Parts per billion,23.608696,46,22,43,Parts per million,0.022958,0.047,11,40,Parts per billion,2.434783,3,4,4,Parts per million,0.734783,1.3,0,
28236,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,10/31/2005,1,Parts per billion,50.347826,68,9,66,Parts per million,0.00975,0.024,9,20,Parts per billion,5.913043,34,9,49,Parts per million,1.613043,3.8,23,
28240,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,11/1/2005,1,Parts per billion,48.043478,70,16,68,Parts per million,0.012417,0.023,8,19,Parts per billion,3.565217,6,11,9,Parts per million,1.273913,3.2,7,
28244,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,11/2/2005,1,Parts per billion,25.347826,48,0,45,Parts per million,0.030792,0.045,12,38,Parts per billion,3,4,6,6,Parts per million,0.808696,2.8,6,
28248,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,11/3/2005,1,Parts per billion,15.173913,32,7,30,Parts per million,0.027125,0.04,13,34,Parts per billion,2.565217,7,12,10,Parts per million,0.482609,0.9,8,
